global_idx
33
45
47
56
79
80
139
160
164
170
191
217
232
255
262
291
301
345
350
377
380
476
503
509
523
547
653
670
696
729
790
824
828
846
853
891
895
903
910
932
935
946
969
994
1051
1059
1065
1069
1134
1140
1142
1144
1194
1207
1217
1226
1250
1269
1284
1300
1303
1316
1323
1329
1352
1389
1403
1439
1554
1654
1671
1672
1700
1748
1784
1801
1804
1808
1856
1860
1866
1921
1929
1938
1965
1990
2043
2085
2114
2151
2159
2176
2198
2237
2293
2439
2534
2571
2590
2596
2626
2628
2629
2674
2702
2778
2794
2814
2927
2954
2967
2998
3030
3077
3085
3110
3260
3263
3389
3480
3510
3539
3558
3583
3787
3789
3832
3879
3923
3968
4050
4166
4217
4374
4393
4490
4517
4525
4593
4606
4612
4672
4683
4699
4831
4950
5203
5658
5670
5761
5849
5886
5896
5967
6142
6175
6346
6362
6466
6515
6614
6651
6823
6829
6891
6910
6957
7037
7097
7166
7432
7875
7981
8105
8109
8180
8235
8359
8405
8420
8626
8646
8795
8842
9122
9199
9277
9386
9480
9521
9580
9716
9798
9830
9865
9904
9907
9962
10603
10724
10975
11318
11728
11732
11982
12283
12390
12408
13169
13567
13914
13957
14649
15480
16265
16989
16994
17355
17590
17891
18113
18209
18378
18862
18901
19221
20859
20904
21427
21703
21714
21898
22695
22722
23007
23491
23707
23845
23860
24010
26533
26887
27485
27538
27905
28261
28521
29477
29630
29777
32428
32994
33060
33529
33762
33863
34038
34053
35223
35866
35999
36285
36702
37421
37595
37776
37844
38439
38803
38947
39232
39445
39564
