global_idx,confidence,rrs,threshold
33,0.9999999873333338,0.6580351221833063,0.55
45,0.999680966656262,0.6297209835701983,0.55
47,0.9999861898432688,0.5927434780473223,0.55
56,0.999915602505776,0.6002888010931189,0.55
79,0.999739436609074,0.6382091419235659,0.55
80,0.9970780009037161,0.6687240443113586,0.55
139,0.9999875450767307,0.6218146724291703,0.55
160,0.9999982781708144,0.5773941218269718,0.55
164,0.9999156610031882,0.6002888274169543,0.55
170,0.9999999873333338,0.6580351221833063,0.55
191,0.9999861790738419,0.5955682203903356,0.55
217,0.9997136000959675,0.6381975154926681,0.55
232,0.9999097153890351,0.6002861518905854,0.55
255,0.9996297448151842,0.6206713930981925,0.55
262,0.9999841923561644,0.5862551262241126,0.55
291,0.8094170645128674,0.6014781651076282,0.55
301,0.9990514519086096,0.615045202614274,0.55
318,3.323252442082913e-05,-0.0001177538119059838,0.55
345,0.9997589595869443,0.6382179272636076,0.55
350,0.9999398263932519,0.6160886107546141,0.55
377,0.9999861939444945,0.5862560269388611,0.55
380,0.9999861774555586,0.58625601951884,0.55
472,8.319417182612856e-06,-3.3551002438024234e-05,0.55
474,0.00024879283898498447,-0.0007045177110763986,0.55
476,0.9999999873333338,0.6580351221833063,0.55
503,0.9996344808970649,0.6297000649785597,0.55
509,0.9999855710266398,0.5862557466258266,0.55
523,0.9998847145154993,0.6382745169814573,0.55
547,0.9999999873333338,0.6580351221833063,0.55
636,3.113597574786119e-05,-0.00011104222264198262,0.55
653,0.9999983638333001,0.5689157256954699,0.55
670,0.9996297202869086,0.6206713820604685,0.55
696,0.9970715261597334,0.6687211306765664,0.55
729,0.9999861944559676,0.586256027169024,0.55
778,1.764262803104691e-05,-6.646239162109052e-05,0.55
790,0.9999153969356027,0.6002887085865409,0.55
824,0.9999999873333338,0.6580351221833063,0.55
828,0.9999861619452597,0.5955682126824736,0.55
846,0.9996181616618154,0.6381545681972997,0.55
853,0.9986079647238051,0.5887958616255047,0.55
891,0.9999983225766272,0.5773941418095875,0.55
895,0.9999148010761973,0.6002884404498084,0.55
903,0.9531514166251412,0.579342433347948,0.55
905,5.4615720746571425e-05,-0.00018393100451396637,0.55
910,0.9997028278160475,0.638192667966704,0.55
932,0.9997472721802608,0.6382126679306,0.55
935,0.999686598252616,0.6297235177885576,0.55
946,0.9999855849116034,0.5867295822560915,0.55
969,0.9983274997598833,0.5886696523917399,0.55
994,0.9999709695376056,0.6198902182016353,0.55
1048,0.9999983218756595,0.577394141494152,0.5824105366549919
1051,0.9970809390137919,0.5849486622200449,0.5824105366549919
1059,0.9999153563537267,0.6002886903246967,0.5824105366549919
1065,0.9999684335006044,0.7549735856069322,0.5824105366549919
1069,0.9996251595809005,0.6206693297427649,0.5824105366549919
1129,0.9999978633638009,0.5773939351638157,0.5824105366549919
1134,0.9997913585371072,0.6297706599165788,0.5824105366549919
1140,0.9999153409983889,0.6002886834147947,0.5824105366549919
1142,0.9997509031345441,0.6382143018600275,0.5824105366549919
1144,0.9999270724316365,0.6160828714718872,0.5824105366549919
1155,0.055970217569374425,-0.05078636765874599,0.5824105366549919
1194,0.9999085392710497,0.6002856226374921,0.5824105366549919
1207,0.9996596151268414,0.6297113753819591,0.5824105366549919
1215,0.00026731824387104375,-0.0007501901005787946,0.5824105366549919
1217,0.9999861810391181,0.5955682212747099,0.5824105366549919
1226,0.9999855763587838,0.5955679491685595,0.5824105366549919
1250,0.9999861949647378,0.5862560273979706,0.5824105366549919
1267,0.9999855840549765,0.581282324375652,0.5824105366549919
1269,0.999739952852958,0.6382093742333138,0.5824105366549919
1284,0.9999398733730791,0.6160886318955364,0.5824105366549919
1300,0.9999203896231488,0.6002909552959366,0.5824105366549919
1303,0.9998693355932607,0.63826759646645,0.5824105366549919
1316,0.9999398689402139,0.616088629900747,0.5824105366549919
1323,0.9996188619231987,0.6296930364403199,0.5824105366549919
1329,0.9999861941509274,0.5862560270317559,0.5824105366549919
1352,0.9999325318991072,0.616085328232249,0.5824105366549919
1389,0.9997569741256483,0.6382170338060243,0.5824105366549919
1403,0.9999861809909486,0.5955682212530337,0.5824105366549919
1424,0.99999832114118,0.5773941411636363,0.5824105366549919
1439,0.9994957013134451,0.6206110735224099,0.5824105366549919
1554,0.9999574288572827,0.6198841248954899,0.5824105366549919
1607,0.9999983210288157,0.5773941411130723,0.5824105366549919
1620,0.9999983249157037,0.5773941428621719,0.5824105366549919
1654,0.9999153426157791,0.6002886841426203,0.5824105366549919
1671,0.9999398090047417,0.6022050668721758,0.5824105366549919
1672,0.999986014909176,0.595568146516236,0.5824105366549919
1700,0.9999156276120876,0.6002888123909591,0.5824105366549919
1748,0.9999153584725488,0.6002886912781666,0.5824105366549919
1784,0.999939872791806,0.6160886316339634,0.5824105366549919
1801,0.9999879222915956,0.6218148421758595,0.5824105366549919
1804,0.9999663177617945,0.6198881249025202,0.5824105366549919
1808,0.9997626908983833,0.6382196063537552,0.5824105366549919
1841,0.00015934957770655402,-0.0004763331487413113,0.5824105366549919
1856,0.9999861302041503,0.5955681983989743,0.5824105366549919
1860,0.9999148094145347,0.6002884442020603,0.5824105366549919
1866,0.9999861729240734,0.5862560174796717,0.5824105366549919
1869,0.999998315987265,0.5773941388443745,0.5824105366549919
1879,0.9999982690876591,0.5773941177395518,0.5824105366549919
1892,4.329549309949292e-06,-1.8459945676658615e-05,0.5824105366549919
1921,0.9991953482798722,0.6204759146573021,0.5824105366549919
1929,0.9999864453881033,0.586256140088485,0.5824105366549919
1938,0.9999398723382134,0.6160886314298467,0.5824105366549919
1965,0.999915404912276,0.6002887121760438,0.5824105366549919
1985,8.739370400714e-05,-0.00027979636748136003,0.5824105366549919
1990,0.9997578033840104,0.5859481742356403,0.5824105366549919
2043,0.9997438976692663,0.6382111494006525,0.5991524858003017
2051,0.9999983244727711,0.5773941426628523,0.5991524858003017
2076,0.9999983191802025,0.5773941402811964,0.5991524858003017
2085,0.9994036549585892,0.6094639719881927,0.5991524858003017
2097,0.9999861786262322,0.5955682201889113,0.5991524858003017
2110,3.4963119580408784e-05,-0.0001232585172137677,0.5991524858003017
2114,0.9997055615727575,0.6381938981572236,0.5991524858003017
2116,0.9999861884572523,0.5862560244696021,0.5991524858003017
2120,0.9973311129618685,0.5882212783326333,0.5991524858003017
2138,0.999998321223138,0.5773941412005174,0.5991524858003017
2151,0.9997598173236869,0.6382183132451418,0.5991524858003017
2159,0.9998374530670552,0.6382532493296574,0.5991524858003017
2176,0.999684360307788,0.6381843575879872,0.5991524858003017
2179,0.9712607888432998,0.5873941349450046,0.5991524858003017
2183,0.9999861736833243,0.5955682179646028,0.5991524858003017
2189,0.9999855859678425,0.5867295827313992,0.5991524858003017
2198,0.9999855807045327,0.6198967932267525,0.5991524858003017
2231,0.6031066441960432,0.04754953521051631,0.5991524858003017
2237,0.9994609532446909,0.6205954368914705,0.5991524858003017
2250,0.9999863473706544,0.5862560959806331,0.5991524858003017
2293,0.9999999873333338,0.6580351221833063,0.5991524858003017
2365,0.9999861810746624,0.5955682212907049,0.5991524858003017
2439,0.9999987470934639,0.6161151250697096,0.5991524858003017
2451,0.9999983224498878,0.5773941417525548,0.5991524858003017
2452,5.4615720746571425e-05,-0.00018393100451396637,0.5991524858003017
2510,0.9999861817884719,0.5955682216119191,0.5991524858003017
2513,0.581408685514208,0.031174587323291793,0.5991524858003017
2534,0.7005236579433897,0.6174271673325537,0.5991524858003017
2571,0.9999999873333338,0.6580351221833063,0.5991524858003017
2590,0.9999345324062913,0.6154425888382308,0.5991524858003017
2596,0.9984636737190749,0.6291732017484641,0.5991524858003017
2626,0.9978392689936422,0.6396543711450559,0.5991524858003017
2628,0.9997398465159056,0.6382093263816402,0.5991524858003017
2629,0.9999145113889607,0.600288310090552,0.5991524858003017
2653,0.9999861908550957,0.5927434785026443,0.5991524858003017
2674,0.9997560729220337,0.6382166282643978,0.5991524858003017
2701,0.9999859389187437,0.5862559121772732,0.5991524858003017
2702,0.9999398748528446,0.6160886325614309,0.5991524858003017
2778,0.9998363403556805,0.6297909017349367,0.5991524858003017
2788,0.9999981088833172,0.577394045647598,0.5991524858003017
2794,0.9999159849835926,0.6382885886920994,0.5991524858003017
2814,0.9999398659877106,0.6160886285721205,0.5991524858003017
2815,2.75003341476177e-05,-9.92831445989474e-05,0.5991524858003017
2829,0.9999861815709001,0.5955682215140118,0.5991524858003017
2837,0.9999983249715639,0.5773941428873091,0.5991524858003017
2868,5.699725981908257e-05,-0.0001910914898080928,0.5991524858003017
2874,3.4963119580408784e-05,-0.0001232585172137677,0.5991524858003017
2880,0.9999861681076448,0.595568215455547,0.5991524858003017
2927,0.9997025166302945,0.6381925279331152,0.5991524858003017
2954,0.9999999873333338,0.6580351221833063,0.5991524858003017
2967,0.9999159984258948,0.6382885947411353,0.5991524858003017
2998,0.9937683346546495,0.612667799849992,0.5991524858003017
3013,0.9999847886382768,0.5927428475050759,0.611303051403728
3030,0.9997459724127998,0.6382120830352426,0.611303051403728
3054,0.99998617809068,0.5955682199479128,0.611303051403728
3077,0.9998847163793277,0.6382745178201802,0.611303051403728
3085,0.9997425552052587,0.6382105452918491,0.611303051403728
3090,0.9999983249805529,0.577394142891354,0.611303051403728
3105,0.999986168574779,0.5955682156657572,0.611303051403728
3110,0.9999784293458072,0.619893575115326,0.611303051403728
3127,0.9999154138978674,0.60028871621956,0.611303051403728
3138,0.9999050416469313,0.6002840487066388,0.611303051403728
3151,0.9999153161196351,0.6002886722193554,0.611303051403728
3165,0.999998321452277,0.5773941413036299,0.611303051403728
3167,4.191946361147928e-05,-0.00014509365245259456,0.611303051403728
3176,0.9999983222679745,0.5773941416706938,0.611303051403728
3183,4.927427485907697e-05,-0.00016773500281354786,0.611303051403728
3184,0.9999976810860958,0.5773938531388484,0.611303051403728
3212,0.9999861866560907,0.5862560236590794,0.611303051403728
3217,0.9863285145856496,0.5942721274301768,0.611303051403728
3259,0.9999855858665788,0.5812823251908731,0.611303051403728
3260,0.9999398676727453,0.6160886293303861,0.611303051403728
3263,0.9999855843409139,0.619896794863124,0.611303051403728
3266,3.323252442082913e-05,-0.0001177538119059838,0.611303051403728
3298,0.9999861810884381,0.5955682212969039,0.611303051403728
3301,0.9999856315632399,0.5955679740105647,0.611303051403728
3302,0.9999983210882984,0.5773941411398396,0.611303051403728
3326,0.9999983219169366,0.5773941415127267,0.611303051403728
3370,0.9999827125429235,0.5955666604514224,0.611303051403728
3371,8.12030700758713e-05,-0.0002620855033481872,0.611303051403728
3379,0.9999174070303248,0.6002896131291658,0.611303051403728
3389,0.9996372034262658,0.6206747494731792,0.611303051403728
3390,0.00018905024637240906,-0.0005536937306978709,0.611303051403728
3406,0.9997487633799795,0.5859441062338263,0.611303051403728
3442,0.9999090043441455,0.6002858319203852,0.611303051403728
3457,0.9999983251037667,0.5773941429468002,0.611303051403728
3467,0.9999983189561628,0.5773941401803785,0.611303051403728
3480,0.9998847077710299,0.6382745139464462,0.611303051403728
3486,0.9999857455473332,0.5862558251601385,0.611303051403728
3510,0.9972969823929758,0.6688225859815254,0.611303051403728
3539,0.9999895753635858,0.621815586058255,0.611303051403728
3558,0.999985533498584,0.6198967719840756,0.611303051403728
3583,0.9997313975007649,0.6382055243248269,0.611303051403728
3590,0.9999861809628574,0.5955682212403927,0.611303051403728
3591,0.9999983223092094,0.5773941416892495,0.611303051403728
3681,0.9999147703704098,0.600288426632204,0.611303051403728
3725,0.99971206380331,0.585927591424325,0.611303051403728
3752,0.9999861942808758,0.5862560270902327,0.611303051403728
3775,0.999986195075761,0.586256027447931,0.611303051403728
3787,0.9999398643713806,0.616088627844772,0.611303051403728
3789,0.9997277619786815,0.6382038883398894,0.611303051403728
3832,0.9999398609861769,0.6160886263214304,0.611303051403728
3861,0.9999397674532515,0.6022050481740052,0.611303051403728
3879,0.9999999873333338,0.6580351221833063,0.611303051403728
3901,0.9999146964416357,0.6002883933642558,0.611303051403728
3923,0.9995853034817561,0.6206513944981499,0.611303051403728
3968,0.9999398672411727,0.6160886291361785,0.611303051403728
4049,0.999986191571404,0.5862560258709705,0.6193944901665435
4050,0.9996441712805216,0.6297044256511152,0.6193944901665435
4061,0.999983158741753,0.5812812329847014,0.6193944901665435
4095,0.9999983167504689,0.5773941391878162,0.6193944901665435
4101,0.9999153959934799,0.6002887081625856,0.6193944901665435
4115,0.999985585374116,0.5867295824642222,0.6193944901665435
4127,0.9999983250257141,0.5773941429116766,0.6193944901665435
4137,0.9999861684341993,0.5955682156024965,0.6193944901665435
4142,0.9970809053510317,0.5849486470718029,0.6193944901665435
4145,0.999986180813348,0.5955682211731134,0.6193944901665435
4150,0.9999983139497747,0.5773941379275038,0.6193944901665435
4163,0.9999982771904122,0.5773941213857907,0.6193944901665435
4166,0.9996999509641338,0.6381913733833429,0.6193944901665435
4207,0.9998912203498226,0.6002778291229398,0.6193944901665435
4217,0.9997219897912937,0.6382012908555649,0.6193944901665435
4246,0.9999855857249531,0.5812823251271414,0.6193944901665435
4254,9.161328350904555e-05,-0.00029177865143186453,0.6193944901665435
4282,0.030902014945561614,-0.03466896654629524,0.6193944901665435
4325,0.9999981859272168,0.5773940803173528,0.6193944901665435
4374,0.9997839778139698,0.638229185465769,0.6193944901665435
4393,0.999963735114002,0.6198869627110136,0.6193944901665435
4475,9.252521051193095e-05,-0.0002943590989684181,0.6193944901665435
4490,0.9997311866193207,0.638205429428177,0.6193944901665435
4517,0.9999999873333338,0.6580351221833063,0.6193944901665435
4525,0.9997071428387856,0.6381946097269362,0.6193944901665435
4562,0.9999154134029683,0.6002887159968554,0.6193944901665435
4593,0.999680236495763,0.620694114354453,0.6193944901665435
4606,0.9999999873333338,0.6580351221833063,0.6193944901665435
4612,0.9999999873333338,0.6580351221833063,0.6193944901665435
4672,0.9999999873333338,0.6580351221833063,0.6193944901665435
4683,0.9999763395551586,0.6198926347095342,0.6193944901665435
4699,0.9999855574634227,0.6198967827682529,0.6193944901665435
4775,3.328684185761027e-06,-1.4501847902268475e-05,0.6193944901665435
4801,0.999998323705247,0.5773941423174664,0.6193944901665435
4802,0.9999151871509071,0.6002886141834278,0.6193944901665435
4819,0.999986002303579,0.5862559407004492,0.6193944901665435
4831,0.999729577553056,0.6382047053483578,0.6193944901665435
4839,0.999998317986413,0.5773941397439911,0.6193944901665435
4894,0.0015550924110729412,-0.003395913432640679,0.6193944901665435
4948,0.999985586008798,0.5812823252548717,0.6193944901665435
4950,0.999709042902785,0.6381954647557359,0.6193944901665435
4958,0.0001517491463007123,-0.00045623522567950746,0.6193944901665435
4959,0.999985106989987,0.5867293671913641,0.6193944901665435
5002,0.9999983244870505,0.577394142669278,0.6309866797715723
5045,0.9996352567064068,0.6206738734492426,0.6309866797715723
5050,0.00013322217911189926,-0.00040666561399753485,0.6309866797715723
5114,0.9999983228060952,0.5773941419128481,0.6309866797715723
5180,0.9999839344188153,0.6198960523981796,0.6309866797715723
5203,0.9952533377912249,0.6384907021039682,0.6309866797715723
5216,0.9999983229837954,0.5773941419928132,0.6309866797715723
5228,0.9995721420421992,0.6206454718503492,0.6309866797715723
5234,0.9999982512024047,0.5773941096911874,0.6309866797715723
5238,0.9999855819046982,0.5812823234080268,0.6309866797715723
5270,0.9999983227529774,0.5773941418889451,0.6309866797715723
5291,0.0386448751777336,-0.040247390347496644,0.6309866797715723
5335,0.30481075522336476,-0.07864871326756691,0.6309866797715723
5344,0.9999398661000644,0.6160886286226798,0.6309866797715723
5351,0.0001377719062309669,-0.0004189184122581068,0.6309866797715723
5434,0.9999398372128887,0.6160886156234507,0.6309866797715723
5496,0.9999154028779991,0.6002887112606192,0.6309866797715723
5515,0.9999886738368136,0.6218151803712075,0.6309866797715723
5600,0.9999861818861202,0.5955682216558609,0.6309866797715723
5608,0.9999829633588329,0.5862545731753134,0.6309866797715723
5617,0.9996271709408007,0.62067023485472,0.6309866797715723
5619,2.4850735521246398e-05,-9.060732528752165e-05,0.6309866797715723
5621,0.9993510021104115,0.6205459588810448,0.6309866797715723
