test_idx,nn_distance,shap_cosine_sim,lime_cosine_sim,shap_top6_overlap,shap_sign_agreement,shap_rank_corr
1226,0.0147,0.9987,0.9514,1.0,1.0,0.8722
10459,0.0057,0.9988,0.8818,1.0,1.0,0.9158
32589,0.0008,0.9987,0.897,0.8333,0.9444,0.9203
34456,0.0018,0.9977,0.9705,0.8333,0.8333,0.8496
22631,0.0008,0.9976,0.9542,0.8333,0.8421,0.9459
2198,0.0001,0.9966,0.9411,1.0,0.8421,0.9489
10612,0.001,0.9987,0.9261,0.8333,0.9444,0.8797
6127,0.0001,0.996,0.9155,0.8333,0.9444,0.9414
24328,0.0001,0.9969,0.95,0.8333,0.8889,0.9594
34852,0.0079,0.9989,0.9533,1.0,0.9474,0.9188
38145,3.4533,0.7407,0.9392,0.8333,0.6667,0.8782
5600,0.002,0.9958,0.9828,0.8333,1.0,0.8617
37307,0.002,0.9956,0.9611,0.8333,1.0,0.8361
10403,0.0001,0.9989,0.9591,1.0,0.8889,0.9414
19082,0.0,0.9982,0.9381,0.8333,0.9444,0.9594
20161,0.0152,0.9968,0.9551,0.8333,0.9444,0.988
25730,0.0001,0.9996,0.9694,1.0,0.8889,0.9744
8521,0.0008,0.9981,0.9318,0.8333,0.8333,0.9098
10399,0.0,0.9989,0.875,1.0,1.0,0.9714
8883,0.0001,0.9959,0.9596,0.8333,0.9444,0.9579
3013,0.0779,0.998,0.9704,0.8333,0.8889,0.9609
26223,0.0,0.9957,0.9141,1.0,0.9444,0.9338
39034,1.252,0.9918,0.9138,0.8333,0.8889,0.9263
19182,0.0489,0.9965,0.9422,1.0,0.8947,0.9684
2701,0.043,0.9983,0.9499,1.0,0.9444,0.9805
8235,0.909,0.9956,0.9367,0.8333,0.8889,0.8737
29666,0.199,0.9968,0.9717,0.8333,0.8889,0.9729
8970,0.5584,0.9948,0.9155,0.8333,0.9444,0.9564
20999,0.3233,0.9962,0.9543,0.8333,0.9474,0.9729
28982,0.0001,0.9987,0.9697,0.8333,0.8889,0.9368
9798,0.1153,0.9886,0.8168,0.8333,0.8889,0.9774
1990,0.5917,0.9895,0.8786,0.8333,0.9474,0.8887
16758,0.0217,0.9976,0.969,1.0,1.0,0.9865
16314,0.0009,0.999,0.9339,0.8333,0.8889,0.9188
36663,0.0131,0.9991,0.9211,0.8333,0.8889,0.9594
32816,0.0474,0.998,0.9152,1.0,0.8333,0.9564
21953,0.0026,0.9962,0.9824,1.0,0.9474,0.8466
