global_idx,k,p0,drop_shap,drop_random
13517,1,0.8571177597805649,0.8570754871344222,0.0
13517,2,0.8571177597805649,0.8489778245356076,0.0
13517,3,0.8571177597805649,0.8552819469958969,-0.0009364076207353245
13517,4,0.8571177597805649,0.8552819469958969,0.8570752315754927
13517,5,0.8571177597805649,0.8552687807667267,0.8570752315754927
13517,6,0.8571177597805649,0.8564159927804974,0.8570752314557373
12960,1,0.9999991741462754,0.007002019326921016,3.5436875656102984e-11
12960,2,0.9999991741462754,0.9999968431372707,0.007002301540496525
12960,3,0.9999991741462754,0.9656767442954184,0.016767464761660578
12960,4,0.9999991741462754,0.8128719460569196,0.0012850701412228105
12960,5,0.9999991741462754,0.9214525046501734,0.0012850701412228105
12960,6,0.9999991741462754,0.9212344556895311,0.0012826498549779464
7097,1,0.9999794208632248,0.2073035275906131,-2.3827110069429835e-06
7097,2,0.9999794208632248,0.9999356308580438,-2.3727707922915897e-06
7097,3,0.9999794208632248,0.9999605814830651,-2.3727707922915897e-06
7097,4,0.9999794208632248,0.9999605827930552,-2.6189072608318043e-06
7097,5,0.9999794208632248,0.9999605827930552,-2.362437355074576e-06
7097,6,0.9999794208632248,0.999666534602889,-2.025304972519404e-05
35830,1,0.9999949841288515,0.986461180953637,-4.083045405001151e-06
35830,2,0.9999949841288515,0.9999920438873446,-4.086208040821049e-06
35830,3,0.9999949841288515,0.9999661384780633,-3.95473183079087e-06
35830,4,0.9999949841288515,0.9999733420642969,0.7459317940660186
35830,5,0.9999949841288515,0.9986536544491179,0.7322369647445328
35830,6,0.9999949841288515,0.9995318637020177,0.7322480719786618
8634,1,0.9999801599052325,0.15167927767904632,7.925784663243007e-06
8634,2,0.9999801599052325,0.5781680317455526,7.925784663243007e-06
8634,3,0.9999801599052325,0.6615668464418338,7.959531111767504e-06
8634,4,0.9999801599052325,0.9999587443410544,1.494264805512735e-05
8634,5,0.9999801599052325,0.9999587298972321,0.20779364305418813
8634,6,0.9999801599052325,0.9999587314596663,0.19327351704369455
34506,1,0.9999803865189797,0.19444982124657195,0.0
34506,2,0.9999803865189797,0.9999285064303782,2.4276760151042964e-06
34506,3,0.9999803865189797,0.9999585949091125,-7.379363953230467e-06
34506,4,0.9999803865189797,0.9999525862327528,-7.379363953230467e-06
34506,5,0.9999803865189797,0.9999525884618609,-7.381909658543684e-06
34506,6,0.9999803865189797,0.9994842660330183,-8.275288606474085e-06
28898,1,0.9999935713998871,0.2119834347075399,3.9950846167924325e-06
